ticks;timestamp ms;expected ts ms;lag ms;actual delta ms;expected delta ms;delta diff ms;measure;message
3744;6644.081;6573.020;71.061;0.166;0.000;0.166;4;"JavaWrapperMessage(ticks=3744, isNote=true, isMeta=false)"
3744;6644.595;6573.020;71.575;0.514;0.000;0.514;4;"JavaWrapperMessage(ticks=3744, isNote=true, isMeta=false)"
3840;6813.709;6741.559;72.150;169.114;168.539;0.575;4;"-"
3936;6982.927;6910.098;72.829;169.218;168.539;0.679;4;"-"
4032;7152.231;7078.637;73.594;169.304;168.539;0.765;4;"-"
4032;7152.468;7078.637;73.831;0.237;0.000;0.237;4;"JavaWrapperMessage(ticks=4032, isNote=true, isMeta=false)"
4032;7153.300;7078.637;74.663;0.832;0.000;0.832;4;"JavaWrapperMessage(ticks=4032, isNote=true, isMeta=false)"
4128;7322.505;7247.176;75.329;169.205;168.539;0.666;4;"-"
4224;7491.722;7415.715;76.007;169.216;168.539;0.677;4;"-"
4224;7491.926;7415.715;76.211;0.204;0.000;0.204;4;"JavaWrapperMessage(ticks=4224, isNote=true, isMeta=false)"
4224;7492.566;7415.715;76.851;0.640;0.000;0.640;4;"JavaWrapperMessage(ticks=4224, isNote=true, isMeta=false)"
4320;7661.724;7584.254;77.470;169.158;168.539;0.619;4;"-"
4320;7661.841;7584.254;77.587;0.117;0.000;0.117;4;"JavaWrapperMessage(ticks=4320, isNote=true, isMeta=false)"
4320;7661.878;7584.254;77.624;0.037;0.000;0.037;4;"JavaWrapperMessage(ticks=4320, isNote=true, isMeta=false)"
4320;7661.959;7584.254;77.705;0.081;0.000;0.081;4;"JavaWrapperMessage(ticks=4320, isNote=true, isMeta=false)"
4320;7662.317;7584.254;78.063;0.358;0.000;0.358;4;"JavaWrapperMessage(ticks=4320, isNote=true, isMeta=false)"
4320;7662.745;7584.254;78.491;0.428;0.000;0.428;4;"JavaWrapperMessage(ticks=4320, isNote=true, isMeta=false)"
4320;7663.057;7584.254;78.803;0.312;0.000;0.312;4;"JavaWrapperMessage(ticks=4320, isNote=true, isMeta=false)"
4320;7663.110;7584.254;78.856;0.053;0.000;0.053;4;"JavaWrapperMessage(ticks=4320, isNote=true, isMeta=false)"
4320;7663.150;7584.254;78.896;0.040;0.000;0.040;4;"JavaWrapperMessage(ticks=4320, isNote=true, isMeta=false)"
4320;7663.185;7584.254;78.931;0.035;0.000;0.035;4;"JavaWrapperMessage(ticks=4320, isNote=true, isMeta=false)"
4320;7663.570;7584.254;79.316;0.386;0.000;0.386;4;"JavaWrapperMessage(ticks=4320, isNote=true, isMeta=false)"
4320;7663.863;7584.254;79.609;0.293;0.000;0.293;4;"JavaWrapperMessage(ticks=4320, isNote=true, isMeta=false)"
4320;7664.044;7584.254;79.790;0.181;0.000;0.181;4;"JavaWrapperMessage(ticks=4320, isNote=true, isMeta=false)"
4320;7664.108;7584.254;79.854;0.065;0.000;0.065;4;"JavaWrapperMessage(ticks=4320, isNote=true, isMeta=false)"
4320;7664.372;7584.254;80.118;0.264;0.000;0.264;4;"JavaWrapperMessage(ticks=4320, isNote=true, isMeta=false)"
4416;7833.562;7752.793;80.769;169.190;168.539;0.651;4;"-"
4512;8002.866;7921.332;81.534;169.304;168.539;0.765;4;"-"
4512;8003.070;7921.332;81.738;0.204;0.000;0.204;4;"JavaWrapperMessage(ticks=4512, isNote=true, isMeta=false)"
4512;8003.274;7921.332;81.942;0.204;0.000;0.204;4;"JavaWrapperMessage(ticks=4512, isNote=true, isMeta=false)"
4512;8003.495;7921.332;82.163;0.221;0.000;0.221;4;"JavaWrapperMessage(ticks=4512, isNote=true, isMeta=false)"
